Accelerator,1,2,3,1&2,All connections
CreatiFi,4,2,5,0,11
Finish,0,5,4,0,9
FINODEX,2,3,2,1,7
FRACTALS,3,3,2,1,8
FrontierCities,4,3,3,1,10
INCENSe,1,0,1,0,2
SmartAgriFood2,3,0,2,0,5
EuropeanPioneers,6,4,0,1,10
SpeedUp_Europe,0,0,2,0,2
FABulous,0,2,3,0,5
FI-Adopt,5,4,1,3,10
FI-C3,2,2,3,1,7
