partner,name used,project,phase
Civitta Eesti,Coordinator: Civitta Eesti AS (Estonia),CEED TECH,3
Digital Factory,Digital Factory Zrt (Hungary),CEED TECH,3
Start-up Yard,Start-up Yard Ltd (Czech Republic),CEED TECH,3
The Spot,The Spot (Slovakia),CEED TECH,3
VSL,VSL “Open Coffee Club Vilnius” (Lithuania),CEED TECH,3
Wise Guys Investment,Wise Guys Investment OÜ (Estonia),CEED TECH,3
CREATE-Net,"CREATE-Net (Italy),  ",CreatiFi,3
EBN,European Business Innovation Network (Belgium),CreatiFi,3
Forum Virium,Forum Virium Helsinki,CreatiFi,3
i2cat,i2cat (Spain),CreatiFi,3
iMinds,iMinds,CreatiFi,3
Institute of Creativity,"Institute of Creativity of Barcelona (Spain), ",CreatiFi,3
Living Labs,"European Network of Living Labs (Belgium),",CreatiFi,3
Trentino Sviluppo,"Trentino Sviluppo (Italy), ",CreatiFi,3
Aalto,"Aalto, Finland",ENVIROFI,1
AIT,"AIT, Austria",ENVIROFI,1
ATOS,ATOS,ENVIROFI,1
CNR,"CNR, Italy",ENVIROFI,1
EAA,EAA Austria,ENVIROFI,1
Eurescom,Eurescom,ENVIROFI,1
